isbn,titulo,autor,ano,qntd
9781408855652,Harry Potter e a Pedra Filosofal,J.K. Rowling,2015,8
9788595084742,O Hobbit,J.R.R. Tolkien,1937,5
9781328869333,1984,George Orwell,2017,7
9780061120084,O Sol é para Todos,Harper Lee,1960,4
9780743273565,O Grande Gatsby,F. Scott Fitzgerald,1925,6
9780307474278,O Código Da Vinci,Dan Brown,2003,3
9780062315007,O Alquimista,Paulo Coelho,2014,9
9780062316097,Sapiens,Yuval Noah Harari,2011,5
9780132350884,Clean Code,Robert C. Martin,2008,10
9780441172719,Duna,Frank Herbert,1965,4
